"esco_role","country_name","n_job_offers","median_min_salary","median_max_salary"
accounting analyst,United Kingdom,68,30000.0,66000.0
accounting assistant,Brazil,70,3617.136,4019.04
accounting assistant,France,54,27000.0,33000.0
accounting assistant,Germany,1504,30000.0,41097.15789473684
accounting assistant,India,22,1979.9999999999998,2640.0
accounting assistant,Spain,302,17904.761904761905,20000.0
accounting assistant,United Kingdom,481,31099.846153846156,36000.0
accounting manager,France,26,40000.0,50000.0
accounting manager,Germany,301,38604.575163398695,57128.57142857143
accounting manager,Spain,147,20000.0,24000.0
accounting manager,United Kingdom,349,36440.666666666664,60242.498823529415
acoustical engineer,United Kingdom,58,36000.0,43200.0
actuarial assistant,United Kingdom,104,24000.0,120000.0
actuarial consultant,United Kingdom,246,24000.0,120000.0
administrative assistant,Brazil,539,3325.1456844117647,3392.567988099174
administrative assistant,France,153,23133.9725,24837.485714285714
administrative assistant,Germany,445,28615.384615384613,39000.0
administrative assistant,Mexico,15,4512.0,5076.0
administrative assistant,Spain,3120,16045.923344947732,17998.393935248518
administrative assistant,United Kingdom,393,28777.217647058824,30880.273098039215
administrative assistant,United States,41,35771.659999999996,44387.2
admissions coordinator,Spain,19,21000.0,33000.0
admissions coordinator,United Kingdom,31,33600.0,38400.0
advanced nurse practitioner,France,14,35000.0,50000.0
advanced nurse practitioner,Germany,16,35000.0,51000.0
advanced nurse practitioner,Spain,14,30000.0,36000.0
advanced nurse practitioner,United Kingdom,114,73441.152,88865.66666666666
advanced nurse practitioner,United States,12,90288.56999999999,124160.0
advertising assistant,Brazil,20,3617.136,4019.04
advertising assistant,France,679,23040.0,25342.579821153253
advertising assistant,Germany,13,30000.0,43000.0
advertising assistant,Spain,13,12600.0,22000.0
advertising copywriter,Germany,16,34000.0,50000.0
advertising copywriter,India,11,2904.0,3959.9999999999995
advertising copywriter,Spain,28,18000.0,21000.0
advertising copywriter,United Kingdom,22,38400.0,48000.0
advertising manager,Spain,14,20000.0,20700.0
advertising manager,United Kingdom,61,35435.520000000004,42000.0
advertising sales agent,Spain,13,14000.0,27600.0
advertising specialist,Germany,32,27000.0,37000.0
aerospace engineer,United Kingdom,23,42000.0,49450.799999999996
aesthetician,France,14,21624.0,26400.0
aesthetician,Germany,57,30000.0,44000.0
aesthetician,Spain,283,14632.65306122449,18000.0
aesthetician,United Kingdom,35,29952.0,34560.0
after-sales service technician,France,31,26000.0,30000.0
after-sales service technician,Germany,184,31250.0,45388.333333333336
after-sales service technician,Spain,66,21000.0,24000.0
after-sales service technician,United Kingdom,36,33600.0,48000.0
aftersales service manager,Spain,14,20000.0,25000.0
