Division,Actividad principal,Estimated_Employees_2024,Estimated_Employees_pct,Median_YoY_Growth_pct,Growth_2020_2024_pct,Total_2024,Total_2023,Total_2022,Total_2021,Total_2020,Size_Micro (0-9)_abs,Size_Small (10-49)_abs,Size_Medium (50-249)_abs,Size_Large (250+)_abs,Size_Micro (0-9)_pct,Size_Small (10-49)_pct,Size_Medium (50-249)_pct,Size_Large (250+)_pct,Estrato_Sin asalariados_abs,Estrato_De 1 a 2_abs,Estrato_De 3 a 5_abs,Estrato_De 6 a 9_abs,Estrato_De 10 a 19_abs,Estrato_De 20 a 49_abs,Estrato_De 50 a 99_abs,Estrato_De 100 a 199_abs,Estrato_De 200 a 249_abs,Estrato_De 250 a 999_abs,Estrato_De 1000 a 4999_abs,Estrato_De 5000 o más asalariados_abs,Estrato_Sin asalariados_pct,Estrato_De 1 a 2_pct,Estrato_De 3 a 5_pct,Estrato_De 6 a 9_pct,Estrato_De 10 a 19_pct,Estrato_De 20 a 49_pct,Estrato_De 50 a 99_pct,Estrato_De 100 a 199_pct,Estrato_De 200 a 249_pct,Estrato_De 250 a 999_pct,Estrato_De 1000 a 4999_pct,Estrato_De 5000 o más asalariados_pct,Condicion_Sociedades anónimas_abs,Condicion_Sociedades de responsabilidad limitada_abs,Condicion_Sociedades anónimas_pct,Condicion_Sociedades de responsabilidad limitada_pct
28 Fabricación de maquinaria y equipo n.c.o.p.,281 Fabricación de maquinaria de uso general,23192.0,0.2,-0.9,-4.7,482,483,514,498,506,238,174,58,12,49.38,36.1,12.03,2.49,18,85,71,64,108,66,36,19,3,10,2,0,3.73,17.63,14.73,13.28,22.41,13.69,7.47,3.94,0.62,2.07,0.41,0.0,137,345,28.42,71.58
82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas,821 Actividades administrativas y auxiliares de oficina,22488.0,0.19,4.7,18.3,2514,2358,2385,2185,2126,2286,198,20,10,90.93,7.88,0.8,0.4,393,1349,394,150,146,52,11,5,4,8,2,0,15.63,53.66,15.67,5.97,5.81,2.07,0.44,0.2,0.16,0.32,0.08,0.0,57,2457,2.27,97.73
13 Industria textil,139 Fabricación de otros productos textiles,22411.0,0.19,-1.0,-8.4,1780,1810,1984,1938,1943,1250,451,77,2,70.22,25.34,4.33,0.11,173,475,327,275,302,149,58,16,3,2,0,0,9.72,26.69,18.37,15.45,16.97,8.37,3.26,0.9,0.17,0.11,0.0,0.0,160,1620,8.99,91.01
"24 Metalurgia, fabricación de productos de hierro, acero y ferroaleaciones","241 Fabricación de productos básicos de hierro, acero y ferroaleaciones",21874.0,0.18,2.4,9.5,253,242,236,236,231,148,75,21,9,58.5,29.64,8.3,3.56,12,56,40,40,39,36,12,7,2,5,3,1,4.74,22.13,15.81,15.81,15.42,14.23,4.74,2.77,0.79,1.98,1.19,0.4,38,215,15.02,84.98
30 Fabricación de otro material de transporte,303 Construcción aeronáutica y espacial y su maquinaria,21384.0,0.18,10.0,35.2,123,126,110,103,91,55,39,18,11,44.72,31.71,14.63,8.94,7,20,14,14,16,23,12,6,0,7,3,1,5.69,16.26,11.38,11.38,13.01,18.7,9.76,4.88,0.0,5.69,2.44,0.81,18,105,14.63,85.37
66 Actividades auxiliares a los servicios financieros y a los seguros,"661 Actividades auxiliares a los servicios financieros, excepto seguros y fondos de pensiones",21162.0,0.18,15.6,37.1,6187,5156,6321,5024,4514,5994,149,37,7,96.88,2.41,0.6,0.11,3800,1644,388,162,97,52,15,20,2,7,0,0,61.42,26.57,6.27,2.62,1.57,0.84,0.24,0.32,0.03,0.11,0.0,0.0,312,5875,5.04,94.96
"38 Recogida, tratamiento y eliminación de residuos, valorización",382 Tratamiento y eliminación de residuos,21022.0,0.18,4.2,7.7,422,412,441,415,392,302,84,27,9,71.56,19.91,6.4,2.13,51,93,84,74,42,42,15,9,3,6,2,1,12.09,22.04,19.91,17.54,9.95,9.95,3.55,2.13,0.71,1.42,0.47,0.24,49,373,11.61,88.39
82 Actividades administrativas de oficina y otras actividades auxiliares a las empresas,823 Organización de convenciones y ferias de muestras,20257.0,0.17,-0.4,0.1,3638,3423,3602,3486,3636,3268,323,43,4,89.83,8.88,1.18,0.11,1244,1393,414,217,224,99,28,13,2,4,0,0,34.19,38.29,11.38,5.96,6.16,2.72,0.77,0.36,0.05,0.11,0.0,0.0,51,3587,1.4,98.6
42 Ingeniería civil,422 Construcción de redes,20241.0,0.17,4.7,17.9,878,837,833,797,745,630,211,29,8,71.75,24.03,3.3,0.91,32,294,188,116,112,99,16,10,3,6,2,0,3.64,33.49,21.41,13.21,12.76,11.28,1.82,1.14,0.34,0.68,0.23,0.0,62,816,7.06,92.94
21 Fabricación de productos farmacéuticos,211 Fabricación de productos farmacéuticos de base,20204.0,0.17,-2.3,-4.5,126,128,135,128,132,55,28,20,23,43.65,22.22,15.87,18.25,12,22,11,10,14,14,8,9,3,22,1,0,9.52,17.46,8.73,7.94,11.11,11.11,6.35,7.14,2.38,17.46,0.79,0.0,39,87,30.95,69.05
22 Fabricación de productos de caucho y plásticos,221 Fabricación de productos de caucho,19908.0,0.17,-3.3,-13.7,427,439,480,476,495,234,148,38,7,54.8,34.66,8.9,1.64,21,80,77,56,61,87,25,10,3,5,1,1,4.92,18.74,18.03,13.11,14.29,20.37,5.85,2.34,0.7,1.17,0.23,0.23,89,338,20.84,79.16
78 Actividades relacionadas con el empleo,783 Otra provisión de recursos humanos,19711.0,0.17,5.0,-3.9,548,512,628,594,570,405,112,24,7,73.91,20.44,4.38,1.28,134,169,63,39,71,41,12,10,2,4,2,1,24.45,30.84,11.5,7.12,12.96,7.48,2.19,1.82,0.36,0.73,0.36,0.18,12,536,2.19,97.81
