Division,Actividad principal,Estimated_Employees_2024,Estimated_Employees_pct,Median_YoY_Growth_pct,Growth_2020_2024_pct,Total_2024,Total_2023,Total_2022,Total_2021,Total_2020,Size_Micro (0-9)_abs,Size_Small (10-49)_abs,Size_Medium (50-249)_abs,Size_Large (250+)_abs,Size_Micro (0-9)_pct,Size_Small (10-49)_pct,Size_Medium (50-249)_pct,Size_Large (250+)_pct,Estrato_Sin asalariados_abs,Estrato_De 1 a 2_abs,Estrato_De 3 a 5_abs,Estrato_De 6 a 9_abs,Estrato_De 10 a 19_abs,Estrato_De 20 a 49_abs,Estrato_De 50 a 99_abs,Estrato_De 100 a 199_abs,Estrato_De 200 a 249_abs,Estrato_De 250 a 999_abs,Estrato_De 1000 a 4999_abs,Estrato_De 5000 o más asalariados_abs,Estrato_Sin asalariados_pct,Estrato_De 1 a 2_pct,Estrato_De 3 a 5_pct,Estrato_De 6 a 9_pct,Estrato_De 10 a 19_pct,Estrato_De 20 a 49_pct,Estrato_De 50 a 99_pct,Estrato_De 100 a 199_pct,Estrato_De 200 a 249_pct,Estrato_De 250 a 999_pct,Estrato_De 1000 a 4999_pct,Estrato_De 5000 o más asalariados_pct,Condicion_Sociedades anónimas_abs,Condicion_Sociedades de responsabilidad limitada_abs,Condicion_Sociedades anónimas_pct,Condicion_Sociedades de responsabilidad limitada_pct
13 Industria textil,131 Preparación e hilado de fibras textiles,4254.0,0.04,-2.8,-14.9,251,255,283,283,295,155,80,15,1,61.75,31.87,5.98,0.4,18,65,41,31,53,27,12,2,1,1,0,0,7.17,25.9,16.33,12.35,21.12,10.76,4.78,0.8,0.4,0.4,0.0,0.0,47,204,18.73,81.27
20 Industria química,202 Fabricación de pesticidas y otros productos agroquímicos,3888.0,0.03,-2.5,-13.6,70,71,77,79,81,32,17,19,2,45.71,24.29,27.14,2.86,4,12,7,9,4,13,12,6,1,2,0,0,5.71,17.14,10.0,12.86,5.71,18.57,17.14,8.57,1.43,2.86,0.0,0.0,24,46,34.29,65.71
"47 Comercio al por menor, excepto de vehículos de motor y motocicletas",478 Comercio al por menor en puestos de venta y en mercadillos,3779.0,0.03,-2.3,-19.9,1678,1643,1999,2016,2096,1655,21,2,0,98.63,1.25,0.12,0.0,569,766,255,65,16,5,2,0,0,0,0,0,33.91,45.65,15.2,3.87,0.95,0.3,0.12,0.0,0.0,0.0,0.0,0.0,7,1671,0.42,99.58
32 Otras industrias manufactureras,324 Fabricación de juegos y juguetes,3238.0,0.03,-0.6,-6.2,228,214,240,245,243,167,49,11,1,73.25,21.49,4.82,0.44,50,66,31,20,31,18,8,2,1,1,0,0,21.93,28.95,13.6,8.77,13.6,7.89,3.51,0.88,0.44,0.44,0.0,0.0,19,209,8.33,91.67
08 Otras industrias extractivas,089 Industrias extractivas n.c.o.p.,3218.0,0.03,-2.6,-17.2,120,123,142,141,145,86,21,11,2,71.67,17.5,9.17,1.67,32,27,17,10,12,9,7,2,2,2,0,0,26.67,22.5,14.17,8.33,10.0,7.5,5.83,1.67,1.67,1.67,0.0,0.0,33,87,27.5,72.5
55 Servicios de alojamiento,559 Otros alojamientos,3165.0,0.03,3.6,21.4,483,463,450,408,398,428,49,6,0,88.61,10.14,1.24,0.0,61,164,112,91,28,21,5,0,1,0,0,0,12.63,33.95,23.19,18.84,5.8,4.35,1.04,0.0,0.21,0.0,0.0,0.0,15,468,3.11,96.89
23 Fabricación de otros productos minerales no metálicos,232 Fabricación de productos cerámicos refractarios,2895.0,0.02,-4.9,-17.6,56,57,62,69,68,26,17,11,2,46.43,30.36,19.64,3.57,1,14,7,4,7,10,8,2,1,2,0,0,1.79,25.0,12.5,7.14,12.5,17.86,14.29,3.57,1.79,3.57,0.0,0.0,15,41,26.79,73.21
14 Confección de prendas de vestir,143 Confección de prendas de vestir de punto,2835.0,0.02,-3.3,-21.5,226,231,281,294,288,159,61,5,1,70.35,26.99,2.21,0.44,24,66,42,27,38,23,5,0,0,1,0,0,10.62,29.2,18.58,11.95,16.81,10.18,2.21,0.0,0.0,0.44,0.0,0.0,33,193,14.6,85.4
50 Transporte marítimo y por vías navegables interiores,502 Transporte marítimo de mercancías,2748.0,0.02,6.2,14.9,100,90,98,90,87,75,15,8,2,75.0,15.0,8.0,2.0,34,21,13,7,8,7,4,3,1,2,0,0,34.0,21.0,13.0,7.0,8.0,7.0,4.0,3.0,1.0,2.0,0.0,0.0,25,75,25.0,75.0
32 Otras industrias manufactureras,323 Fabricación de artículos de deporte,2636.0,0.02,4.0,12.9,193,181,185,181,171,141,46,5,1,73.06,23.83,2.59,0.52,44,61,24,12,21,25,3,2,0,1,0,0,22.8,31.61,12.44,6.22,10.88,12.95,1.55,1.04,0.0,0.52,0.0,0.0,17,176,8.81,91.19
20 Industria química,206 Fabricación de fibras artificiales y sintéticas,2584.0,0.02,6.6,28.2,50,50,47,44,39,27,18,2,3,54.0,36.0,4.0,6.0,6,8,3,10,12,6,1,1,0,3,0,0,12.0,16.0,6.0,20.0,24.0,12.0,2.0,2.0,0.0,6.0,0.0,0.0,7,43,14.0,86.0
30 Fabricación de otro material de transporte,309 Fabricación de material de transporte n.c.o.p.,2580.0,0.02,-1.8,-12.1,131,132,136,137,149,93,27,10,1,70.99,20.61,7.63,0.76,25,41,13,14,17,10,5,5,0,1,0,0,19.08,31.3,9.92,10.69,12.98,7.63,3.82,3.82,0.0,0.76,0.0,0.0,13,118,9.92,90.08
"26 Fabricación de productos informáticos, electrónicos y ópticos","266 Fabricación de equipos de radiación, electromédicos y electroterapéuticos",2542.0,0.02,-2.7,-8.7,105,111,124,115,115,72,26,5,2,68.57,24.76,4.76,1.9,22,29,10,11,12,14,4,1,0,2,0,0,20.95,27.62,9.52,10.48,11.43,13.33,3.81,0.95,0.0,1.9,0.0,0.0,14,91,13.33,86.67
87 Asistencia en establecimientos residenciales,879 Otras actividades de asistencia en establecimientos residenciales,2541.0,0.02,-3.8,-14.8,46,50,51,54,54,15,19,11,1,32.61,41.3,23.91,2.17,0,5,6,4,11,8,5,4,2,1,0,0,0.0,10.87,13.04,8.7,23.91,17.39,10.87,8.7,4.35,2.17,0.0,0.0,1,45,2.17,97.83
07 Extracción de minerales metálicos,072 Extracción de minerales metálicos no férreos,2322.0,0.02,-2.1,-4.3,45,47,50,47,47,33,7,2,3,73.33,15.56,4.44,6.67,19,9,2,3,4,3,1,1,0,3,0,0,42.22,20.0,4.44,6.67,8.89,6.67,2.22,2.22,0.0,6.67,0.0,0.0,8,37,17.78,82.22
77 Actividades de alquiler,"774 Arrendamiento de la propiedad intelectual y productos similares, excepto trabajos protegidos por los derechos de autor",2001.0,0.02,7.9,17.2,184,199,185,171,157,166,16,0,2,90.22,8.7,0.0,1.09,37,86,31,12,9,7,0,0,0,2,0,0,20.11,46.74,16.85,6.52,4.89,3.8,0.0,0.0,0.0,1.09,0.0,0.0,16,168,8.7,91.3
39 Actividades de descontaminación y otros servicios de gestión de residuos,390 Actividades de descontaminación y otros servicios de gestión de residuos,1932.0,0.02,1.5,9.5,184,173,169,168,168,140,37,7,0,76.09,20.11,3.8,0.0,6,63,37,34,26,11,5,2,0,0,0,0,3.26,34.24,20.11,18.48,14.13,5.98,2.72,1.09,0.0,0.0,0.0,0.0,5,179,2.72,97.28
12 Industria del tabaco,120 Industria del tabaco,1680.0,0.01,0.0,-27.8,26,26,38,38,36,13,7,5,1,50.0,26.92,19.23,3.85,4,5,3,1,2,5,1,2,2,1,0,0,15.38,19.23,11.54,3.85,7.69,19.23,3.85,7.69,7.69,3.85,0.0,0.0,8,18,30.77,69.23
"35 Suministro de energía eléctrica, gas, vapor y aire acondicionado",353 Suministro de vapor y aire acondicionado,1673.0,0.01,-2.2,-11.2,159,152,171,172,179,118,37,4,0,74.21,23.27,2.52,0.0,18,44,33,23,22,15,2,2,0,0,0,0,11.32,27.67,20.75,14.47,13.84,9.43,1.26,1.26,0.0,0.0,0.0,0.0,10,149,6.29,93.71
"59 Actividades cinematográficas, de vídeo y de programas de televisión, grabación de sonido y edición musical",592 Actividades de grabación de sonido y edición musical,1536.0,0.01,2.9,20.4,272,265,273,233,226,245,24,3,0,90.07,8.82,1.1,0.0,40,130,51,24,18,6,0,3,0,0,0,0,14.71,47.79,18.75,8.82,6.62,2.21,0.0,1.1,0.0,0.0,0.0,0.0,5,267,1.84,98.16
18 Artes gráficas y reproducción de soportes grabados,182 Reproducción de soportes grabados,1462.0,0.01,1.1,-18.7,527,496,662,622,648,506,18,3,0,96.02,3.42,0.57,0.0,260,196,36,14,13,5,2,1,0,0,0,0,49.34,37.19,6.83,2.66,2.47,0.95,0.38,0.19,0.0,0.0,0.0,0.0,4,523,0.76,99.24
49 Transporte terrestre y por tubería,495 Transporte por tubería,1446.0,0.01,-2.5,-25.0,15,11,19,20,20,10,1,2,2,66.67,6.67,13.33,13.33,7,2,1,0,0,1,2,0,0,2,0,0,46.67,13.33,6.67,0.0,0.0,6.67,13.33,0.0,0.0,13.33,0.0,0.0,4,11,26.67,73.33
"26 Fabricación de productos informáticos, electrónicos y ópticos",267 Fabricación de instrumentos de óptica y equipo fotográfico,1212.0,0.01,-0.9,-12.1,58,58,56,57,66,44,10,3,1,75.86,17.24,5.17,1.72,10,18,11,5,5,5,3,0,0,1,0,0,17.24,31.03,18.97,8.62,8.62,8.62,5.17,0.0,0.0,1.72,0.0,0.0,3,55,5.17,94.83
"26 Fabricación de productos informáticos, electrónicos y ópticos",264 Fabricación de productos electrónicos de consumo,1082.0,0.01,-2.2,-9.5,86,88,95,97,95,60,20,6,0,69.77,23.26,6.98,0.0,10,34,9,7,14,6,5,1,0,0,0,0,11.63,39.53,10.47,8.14,16.28,6.98,5.81,1.16,0.0,0.0,0.0,0.0,7,79,8.14,91.86
"25 Fabricación de productos metálicos, excepto maquinaria y equipo","253 Fabricación de generadores de vapor, excepto calderas de calefacción central",1032.0,0.01,-3.8,-18.4,31,30,35,34,38,8,19,4,0,25.81,61.29,12.9,0.0,1,3,2,2,5,14,2,2,0,0,0,0,3.23,9.68,6.45,6.45,16.13,45.16,6.45,6.45,0.0,0.0,0.0,0.0,14,17,45.16,54.84
51 Transporte aéreo,512 Transporte aéreo de mercancías y transporte espacial,891.0,0.01,0.0,-16.3,36,36,44,43,43,29,5,1,1,80.56,13.89,2.78,2.78,14,10,2,3,2,3,1,0,0,1,0,0,38.89,27.78,5.56,8.33,5.56,8.33,2.78,0.0,0.0,2.78,0.0,0.0,3,33,8.33,91.67
"26 Fabricación de productos informáticos, electrónicos y ópticos",262 Fabricación de ordenadores y equipos periféricos,870.0,0.01,-8.3,-42.2,170,179,247,268,294,159,7,4,0,93.53,4.12,2.35,0.0,36,87,23,13,5,2,3,1,0,0,0,0,21.18,51.18,13.53,7.65,2.94,1.18,1.76,0.59,0.0,0.0,0.0,0.0,6,164,3.53,96.47
61 Telecomunicaciones,613 Telecomunicaciones por satélite,861.0,0.01,-10.1,-44.4,35,43,62,62,63,33,0,1,1,94.29,0.0,2.86,2.86,5,19,4,5,0,0,0,1,0,1,0,0,14.29,54.29,11.43,14.29,0.0,0.0,0.0,2.86,0.0,2.86,0.0,0.0,3,32,8.57,91.43
09 Actividades de apoyo a las industrias extractivas,099 Actividades de apoyo a otras industrias extractivas,842.0,0.01,-2.6,0.0,19,17,18,19,19,14,3,1,1,73.68,15.79,5.26,5.26,2,7,3,2,0,3,1,0,0,1,0,0,10.53,36.84,15.79,10.53,0.0,15.79,5.26,0.0,0.0,5.26,0.0,0.0,3,16,15.79,84.21
30 Fabricación de otro material de transporte,304 Fabricación de vehículos militares de combate,659.0,0.01,0.0,0.0,2,2,2,2,2,0,1,0,1,0.0,50.0,0.0,50.0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,50.0,0.0,0.0,1,1,50.0,50.0
72 Investigación y desarrollo,722 Investigación y desarrollo experimental en ciencias sociales y humanidades,533.0,0.0,-6.7,-24.6,86,101,112,110,114,72,14,0,0,83.72,16.28,0.0,0.0,6,38,18,10,8,6,0,0,0,0,0,0,6.98,44.19,20.93,11.63,9.3,6.98,0.0,0.0,0.0,0.0,0.0,0.0,1,85,1.16,98.84
32 Otras industrias manufactureras,322 Fabricación de instrumentos musicales,494.0,0.0,-1.9,-7.3,76,80,79,84,82,65,10,1,0,85.53,13.16,1.32,0.0,8,35,9,13,6,4,1,0,0,0,0,0,10.53,46.05,11.84,17.11,7.89,5.26,1.32,0.0,0.0,0.0,0.0,0.0,6,70,7.89,92.11
"64 Servicios financieros, excepto seguros y fondos de pensiones","643 Inversión colectiva, fondos y entidades financieras similares",434.0,0.0,-0.5,-4.5,106,108,119,112,111,95,10,1,0,89.62,9.43,0.94,0.0,24,51,16,4,9,1,1,0,0,0,0,0,22.64,48.11,15.09,3.77,8.49,0.94,0.94,0.0,0.0,0.0,0.0,0.0,23,83,21.7,78.3
50 Transporte marítimo y por vías navegables interiores,503 Transporte de pasajeros por vías navegables interiores,397.0,0.0,2.7,11.5,58,57,56,54,52,48,10,0,0,82.76,17.24,0.0,0.0,4,21,16,7,5,5,0,0,0,0,0,0,6.9,36.21,27.59,12.07,8.62,8.62,0.0,0.0,0.0,0.0,0.0,0.0,3,55,5.17,94.83
09 Actividades de apoyo a las industrias extractivas,091 Actividades de apoyo a la extracción de petróleo y gas natural,344.0,0.0,-5.7,-3.3,29,24,25,27,30,22,6,1,0,75.86,20.69,3.45,0.0,9,8,3,2,3,3,0,1,0,0,0,0,31.03,27.59,10.34,6.9,10.34,10.34,0.0,3.45,0.0,0.0,0.0,0.0,9,20,31.03,68.97
80 Actividades de seguridad e investigación,803 Actividades de investigación,320.0,0.0,-4.0,-8.9,92,96,93,97,101,86,6,0,0,93.48,6.52,0.0,0.0,8,59,13,6,4,2,0,0,0,0,0,0,8.7,64.13,14.13,6.52,4.35,2.17,0.0,0.0,0.0,0.0,0.0,0.0,1,91,1.09,98.91
"05 Extracción de antracita, hulla y lignito",051 Extracción de antracita y hulla,216.0,0.0,-12.0,-61.1,21,23,44,52,54,16,4,1,0,76.19,19.05,4.76,0.0,12,3,0,1,1,3,1,0,0,0,0,0,57.14,14.29,0.0,4.76,4.76,14.29,4.76,0.0,0.0,0.0,0.0,0.0,7,14,33.33,66.67
"65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria",652 Reaseguros,206.0,0.0,7.4,25.0,40,34,35,29,32,38,1,1,0,95.0,2.5,2.5,0.0,1,22,14,1,0,1,1,0,0,0,0,0,2.5,55.0,35.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,0.0,0.0,3,37,7.5,92.5
14 Confección de prendas de vestir,142 Fabricación de artículos de peletería,161.0,0.0,-11.2,-50.0,37,37,58,61,74,35,2,0,0,94.59,5.41,0.0,0.0,7,15,10,3,0,2,0,0,0,0,0,0,18.92,40.54,27.03,8.11,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,10,27,27.03,72.97
07 Extracción de minerales metálicos,071 Extracción de minerales de hierro,84.0,0.0,-17.0,-52.6,9,11,13,16,19,7,2,0,0,77.78,22.22,0.0,0.0,3,3,0,1,0,2,0,0,0,0,0,0,33.33,33.33,0.0,11.11,0.0,22.22,0.0,0.0,0.0,0.0,0.0,0.0,3,6,33.33,66.67
19 Coquerías y refino de petróleo,191 Coquerías,83.0,0.0,-10.0,20.0,6,6,8,4,5,5,0,1,0,83.33,0.0,16.67,0.0,3,1,1,0,0,0,1,0,0,0,0,0,50.0,16.67,16.67,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0,6,0.0,100.0
94 Actividades asociativas,949 Otras actividades asociativas,49.0,0.0,25.0,100.0,2,3,2,1,1,0,2,0,0,0.0,100.0,0.0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,100.0
"65 Seguros, reaseguros y fondos de pensiones, excepto Seguridad Social obligatoria",653 Fondos de pensiones,43.0,0.0,62.5,200.0,6,3,5,4,2,4,2,0,0,66.67,33.33,0.0,0.0,1,1,1,1,2,0,0,0,0,0,0,0,16.67,16.67,16.67,16.67,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,16.67,83.33
50 Transporte marítimo y por vías navegables interiores,504 Transporte de mercancías por vías navegables interiores,38.0,0.0,-10.6,-12.5,7,8,9,10,8,6,1,0,0,85.71,14.29,0.0,0.0,1,2,1,2,1,0,0,0,0,0,0,0,14.29,28.57,14.29,28.57,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,7,0.0,100.0
06 Extracción de crudo de petróleo y gas natural,061 Extracción de crudo de petróleo,16.0,0.0,16.7,100.0,12,6,4,5,6,12,0,0,0,100.0,0.0,0.0,0.0,9,2,1,0,0,0,0,0,0,0,0,0,75.0,16.67,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,3,75.0,25.0
94 Actividades asociativas,"941 Actividades de organizaciones empresariales, profesionales y patronales",14.0,0.0,0.0,0.0,1,2,2,1,1,0,1,0,0,0.0,100.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,100.0,0.0
"26 Fabricación de productos informáticos, electrónicos y ópticos",268 Fabricación de soportes magnéticos y ópticos,9.0,0.0,0.0,0.0,2,2,3,2,2,2,0,0,0,100.0,0.0,0.0,0.0,0,1,0,1,0,0,0,0,0,0,0,0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,100.0
06 Extracción de crudo de petróleo y gas natural,062 Extracción de gas natural,8.0,0.0,-50.0,0.0,2,2,0,1,2,2,0,0,0,100.0,0.0,0.0,0.0,1,0,0,1,0,0,0,0,0,0,0,0,50.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,0.0,100.0
"05 Extracción de antracita, hulla y lignito",052 Extracción de lignito,2.0,0.0,0.0,-33.3,2,3,3,3,3,2,0,0,0,100.0,0.0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,100.0,0.0
94 Actividades asociativas,942 Actividades sindicales,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN
